sample_id	filename	file_type	size	file_ome	open_access
MOHD_EA100020	MOHD_EA100020_signal-pvalue_GRCh38_v0.bigWig	p-value signal	559939584	ATAC_SEQ	True
MOHD_EA100020	MOHD_EA100020_signal-FC_GRCh38_v0.bigWig	Fold change signal	747718574	ATAC_SEQ	True
MOHD_EA100020	MOHD_EA100020_unfiltered_GRCh38_v0.bam	Aligned reads	5315022028	ATAC_SEQ	False
MOHD_EA100020	MOHD_EA100020_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	882718	ATAC_SEQ	True
MOHD_EA100020	MOHD_EA100020_filtered_GRCh38_v0.bam	Aligned reads	3146063544	ATAC_SEQ	False
MOHD_EA100020	MOHD_EA100020_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	1793064	ATAC_SEQ	True
MOHD_EA100021	MOHD_EA100021_R1.fastq.gz	Sequenced reads	1406601789	ATAC_SEQ	False
MOHD_EA100021	MOHD_EA100021_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	957327	ATAC_SEQ	True
MOHD_EA100021	MOHD_EA100021_signal-pvalue_GRCh38_v0.bigWig	p-value signal	442824130	ATAC_SEQ	True
MOHD_EA100021	MOHD_EA100021_unfiltered_GRCh38_v0.bam	Aligned reads	4702989189	ATAC_SEQ	False
MOHD_EA100021	MOHD_EA100021_filtered_GRCh38_v0.bam	Aligned reads	2641404887	ATAC_SEQ	False
MOHD_EA100021	MOHD_EA100021_signal-FC_GRCh38_v0.bigWig	Fold change signal	575762595	ATAC_SEQ	True
MOHD_EA100021	MOHD_EA100021_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	621230	ATAC_SEQ	True
MOHD_EA100021	MOHD_EA100021_R2.fastq.gz	Sequenced reads	1567663063	ATAC_SEQ	False
MOHD_EA100022	MOHD_EA100022_R2.fastq.gz	Sequenced reads	1417339207	ATAC_SEQ	False
MOHD_EA100022	MOHD_EA100022_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	588462	ATAC_SEQ	True
MOHD_EA100022	MOHD_EA100022_R1.fastq.gz	Sequenced reads	1395864371	ATAC_SEQ	False
MOHD_EA100022	MOHD_EA100022_signal-FC_GRCh38_v0.bigWig	Fold change signal	432611000	ATAC_SEQ	True
MOHD_EA100022	MOHD_EA100022_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	1321205	ATAC_SEQ	True
MOHD_EA100022	MOHD_EA100022_signal-pvalue_GRCh38_v0.bigWig	p-value signal	406061056	ATAC_SEQ	True
MOHD_EA100022	MOHD_EA100022_unfiltered_GRCh38_v0.bam	Aligned reads	4252017623	ATAC_SEQ	False
MOHD_EA100022	MOHD_EA100022_filtered_GRCh38_v0.bam	Aligned reads	1825361100	ATAC_SEQ	False
MOHD_EA100023	MOHD_EA100023_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	2359296	ATAC_SEQ	True
MOHD_EA100023	MOHD_EA100023_signal-pvalue_GRCh38_v0.bigWig	p-value signal	632836587	ATAC_SEQ	True
MOHD_EA100023	MOHD_EA100023_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	1015009	ATAC_SEQ	True
MOHD_EA100023	MOHD_EA100023_unfiltered_GRCh38_v0.bam	Aligned reads	6710886400	ATAC_SEQ	False
MOHD_EA100023	MOHD_EA100023_filtered_GRCh38_v0.bam	Aligned reads	3843995729	ATAC_SEQ	False
MOHD_EA100023	MOHD_EA100023_R1.fastq.gz	Sequenced reads	2007897210	ATAC_SEQ	False
MOHD_EA100023	MOHD_EA100023_signal-FC_GRCh38_v0.bigWig	Fold change signal	924917432	ATAC_SEQ	True
MOHD_EA100023	MOHD_EA100023_R2.fastq.gz	Sequenced reads	2158221066	ATAC_SEQ	False
MOHD_EA100024	MOHD_EA100024_signal-FC_GRCh38_v0.bigWig	Fold change signal	512984350	ATAC_SEQ	True
MOHD_EA100024	MOHD_EA100024_R1.fastq.gz	Sequenced reads	1535450808	ATAC_SEQ	False
MOHD_EA100024	MOHD_EA100024_unfiltered_GRCh38_v0.bam	Aligned reads	4821100789	ATAC_SEQ	False
MOHD_EA100024	MOHD_EA100024_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	1688207	ATAC_SEQ	True
MOHD_EA100024	MOHD_EA100024_filtered_GRCh38_v0.bam	Aligned reads	2630667468	ATAC_SEQ	False
MOHD_EA100024	MOHD_EA100024_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	1373634	ATAC_SEQ	True
MOHD_EA100024	MOHD_EA100024_signal-pvalue_GRCh38_v0.bigWig	p-value signal	368511549	ATAC_SEQ	True
MOHD_EA100024	MOHD_EA100024_R2.fastq.gz	Sequenced reads	1621350154	ATAC_SEQ	False
MOHD_EA100025	MOHD_EA100025_R2.fastq.gz	Sequenced reads	1653562408	ATAC_SEQ	False
MOHD_EA100025	MOHD_EA100025_filtered_GRCh38_v0.bam	Aligned reads	2899102924	ATAC_SEQ	False
MOHD_EA100025	MOHD_EA100025_signal-FC_GRCh38_v0.bigWig	Fold change signal	677463982	ATAC_SEQ	True
MOHD_EA100025	MOHD_EA100025_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	2023751	ATAC_SEQ	True
MOHD_EA100025	MOHD_EA100025_unfiltered_GRCh38_v0.bam	Aligned reads	5175435591	ATAC_SEQ	False
MOHD_EA100025	MOHD_EA100025_R1.fastq.gz	Sequenced reads	1578400481	ATAC_SEQ	False
MOHD_EA100025	MOHD_EA100025_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	789882	ATAC_SEQ	True
MOHD_EA100025	MOHD_EA100025_signal-pvalue_GRCh38_v0.bigWig	p-value signal	528052387	ATAC_SEQ	True
MOHD_EA100026	MOHD_EA100026_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	506081	ATAC_SEQ	True
MOHD_EA100026	MOHD_EA100026_unfiltered_GRCh38_v0.bam	Aligned reads	5454608465	ATAC_SEQ	False
MOHD_EA100026	MOHD_EA100026_signal-FC_GRCh38_v0.bigWig	Fold change signal	744100986	ATAC_SEQ	True
MOHD_EA100026	MOHD_EA100026_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	1258291	ATAC_SEQ	True
MOHD_EA100026	MOHD_EA100026_filtered_GRCh38_v0.bam	Aligned reads	3092376453	ATAC_SEQ	False
MOHD_EA100026	MOHD_EA100026_signal-pvalue_GRCh38_v0.bigWig	p-value signal	567069900	ATAC_SEQ	True
